category,faam_property,type,value,base_url,label
metadata,label,string,Missa Regina coeli,,
metadata,description,string,,,
metadata,aliases,string,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16002767,,
statements,IMSLP ID,externalid,"Missa 'Regina coeli' (Kerle, Jacobus de)",https://imslp.org/wiki/,
statements,form of creative work,item,WWYhpBVq,,parody mass
statements,form of creative work,item,kNneakGU,,mass
statements,creator,item,Ytsbp8Hr,,Jacobus de Kerle
statements,adapted by,item,mK2saWSr,,Charles Bordes
