category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Compositions pour piano / de Dom. Scarlatti ; revues et doigtées par Louis Köhler.,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005151,,,
metadata,FAAM manifestation ID,id,SML-29805,,,
metadata,call number,string,M23.S286 B928 1890z,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,provenance,item,SzVumnmW,,Sibley Music Library,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,RtkoMT89,,sonata,
statements,keyword,item,WiBZjkbR,,arrangement,
statements,keyword,item,FDSkv45i,,piano sonata,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,bxvFoyt2,,"Keyboard Sonata in C major, K.95",
statements,musical work,item,QrZt6tiH,,"Keyboard Sonata in D major, K.430",
statements,musical work,item,3DThkTfx,,"Keyboard Sonata in G major, K.432",
statements,musical work,item,P6KNC7Pm,,"Keyboard Sonata in D minor, K.434",
statements,musical work,item,3r4BmVYC,,"Keyboard Sonata in G major, K.523",
statements,musical work,item,4ANJyJ6E,,"Keyboard Sonata in F major, K.446",
statements,musical work,item,We6mVnZC,,"Keyboard Sonata in G major, K.348",
statements,musical work,item,c6PJKqJM,,"Keyboard Sonata in G major, K.259",
statements,musical work,item,YV5uQqno,,"Keyboard Sonata in B-flat major, K.202",
statements,musical work,item,EYSHFdgR,,"Keyboard Sonata in C minor, K.37",
statements,musical work,item,35sDRhgb,,"Keyboard Sonata in A-flat major, K.127",
statements,musical work,item,YLuLv5SF,,"Keyboard Sonata in G minor, K.4",
statements,musical work,item,f2dE7bHv,,"Keyboard Sonata in D minor, K.141",
statements,musical work,item,Ap6aFBd2,,"Keyboard Sonata in G minor, K.30",
statements,musical work,item,hwgDMQXJ,,"Keyboard Sonata in A major, K.113",
statements,agent,statement,PXYCpRXf,,Domenico Scarlatti,YvQmwaaW||
statements,agent,statement,kYgchVZr,,Louis Köhler,6UPEJgTQ||
statements,agent,statement,APcZWn33,,Henry Litolff,7tdgMgre||
