category,faam_property,type,value,base_url,label
metadata,label,string,Gustav Mahler,,
metadata,description,string,Austrian late-Romantic composer (1860–1911),,
metadata,aliases,string,Mahler,,
metadata,aliases,string,Gustav Mahler,,
metadata,qid,externalid,Q7304,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16002378,,
statements,VIAF ID,externalid,61732497,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/68537,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Mahler,_Gustav",https://imslp.org/wiki/,
statements,date of birth,date,1860-07-07,,
statements,date of death,date,1911-05-18,,
statements,instance of,item,aJeJBesD,,human
statements,role,item,YvQmwaaW,,composer
statements,occupation,item,TDF2knmi,,conductor
statements,occupation,item,5aTYuVxp,,composer
statements,sex or gender,item,ku2dT5kg,,male
statements,nationality,item,CTNhzr7a,,Germany
statements,nationality,item,PYaeFADo,,Austrian Empire
statements,nationality,item,WXHANYCp,,Cisleithania
statements,nationality,item,KWjNoJvm,,Austria
statements,place of birth,item,TF3dVVaX,,
statements,place of birth,item,esDwjdAF,,
statements,place of death,item,UvT8FR5N,,Vienna
statements,educated at,item,LKYUjWFc,,University of Vienna
statements,educated at,item,DRRhn6P7,,University of Music and Performing Arts Vienna
