category,faam_property,type,value,base_url,label
metadata,label,string,Jean-Louis Duport,,
metadata,description,string,cellist and composer,,
metadata,aliases,string,J. L. Duport,,
metadata,qid,externalid,Q969547,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,VIAF ID,externalid,64270936,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30005109,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Duport,_Jean-Louis",https://imslp.org/wiki/,
statements,instance of,item,aJeJBesD,,human
statements,sex or gender,item,ku2dT5kg,,male
statements,instrument,item,2nFJpnZ8,,cello
statements,employer,item,mNynReve,,Conservatoire de Paris
