category,faam_property,type,value,base_url,label
metadata,label,string,Saint Petersburg,,
metadata,description,string,federal city and former capital of Russia,,
metadata,aliases,string,St. Petersburg,,
metadata,aliases,string,Petrograd,,
metadata,aliases,string,Leningrad,,
metadata,aliases,string,Petersburg,,
metadata,aliases,string,Sankt-Peterburg,,
metadata,aliases,string,St Petersburg,,
metadata,aliases,string,St.Petersburg,,
metadata,qid,externalid,Q656,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,GeoNames ID,externalid,498817,https://www.geonames.org/,
statements,GeoNames ID,externalid,536203,https://www.geonames.org/,
statements,country,item,3iEGZFo6,,Russia
