category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"Mes Adieux, Mache Militaire",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005373,,,
metadata,FAAM manifestation ID,id,ORP-20143703p14,,,
metadata,call number,string,KTS1 H.11.map.003,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,handwritten annotation,item,PprjdkHE,,vertical break,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,L3JmRWH5,,march,
statements,instrumentation,item,fygECL6d,,keyboard four hands,
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
statements,agent,statement,VHEan89z,,Jean Baptiste Katto,7tdgMgre|4g8XzGFP|
statements,agent,statement,aeuURiR5,,Jean Beÿens,YvQmwaaW||
