category,faam_property,type,value,base_url,label
metadata,label,string,portamento,,
metadata,description,string,pitch sliding from one note to another,,
metadata,aliases,string,portamento,,
metadata,qid,externalid,Q263934,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16002623,,
statements,subclass of,item,UJ57Ew5y,,musical phrasing
statements,instance of,item,6m3ZbnrF,,musical technique
statements,instance of,item,fxtj72S3,,musical notation
statements,musical parameter,item,2kxvrpzm,,pitch
statements,used by,item,oMERLdSN,,performer
