category,faam_property,type,value,base_url,label
metadata,label,string,Florian Leopold Gassmann,,
metadata,description,string,Austrian composer (1729–1774),,
metadata,aliases,string,Leopold Gassman,,
metadata,aliases,string,Leopold Gassmann,,
metadata,aliases,string,Leopold Gaßmann,,
metadata,aliases,string,Florian Gassmann,,
metadata,aliases,string,Florian Gaßmann,,
metadata,aliases,string,Floriano Gassmann,,
metadata,qid,externalid,Q700816,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,VIAF ID,externalid,22409342,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30001241,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Gassmann,_Florian_Leopold",https://imslp.org/wiki/,
statements,instance of,item,aJeJBesD,,human
statements,sex or gender,item,ku2dT5kg,,male
