category,faam_property,type,value,base_url,label
metadata,label,string,Hochschule für Musik Carl Maria von Weber,,
metadata,description,string,"education organization in Dresden, Germany",,
metadata,aliases,string,Carl Maria von Weber College of Music,,
metadata,aliases,string,Dresden Conservatory,,
metadata,aliases,string,Dresden Royal Conservatory,,
metadata,aliases,string,Hochschule für Musik Carl Maria von Weber,,
metadata,qid,externalid,Q468181,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16004781,,
statements,place,item,mRsCycJu,,Dresden
statements,country,item,CTNhzr7a,,Germany
