category,faam_property,type,value,base_url,label
metadata,label,string,"Alma redemptoris mater, IGP 6",,
metadata,description,string,,,
metadata,aliases,string,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16002707,,
statements,IMSLP ID,externalid,"Alma redemptoris Mater, IGP 6 (Palestrina, Giovanni Pierluigi da)",https://imslp.org/wiki/,
statements,CPDL ID,externalid,Alma_Redemptoris_Mater_(voci_pari)_(Giovanni_Pierluigi_da_Palestrina),https://www.cpdl.org/wiki/index.php/,
statements,form of creative work,item,7UGJWsQF,,Marian hymn
statements,form of creative work,item,ik3NwdWW,,motet
statements,creator,item,nHfR4BAi,,Giovanni Pierluigi da Palestrina
statements,adapted by,item,mK2saWSr,,Charles Bordes
statements,adapted by,item,Y37RQzq9,,Stephan Lück
statements,adapted by,item,g4BVigYv,,Karl Proske
