category,faam_property,type,value,base_url,label
metadata,label,string,University of Cambridge,,
metadata,description,string,"collegiate public research university in Cambridge, England, United Kingdom",,
metadata,aliases,string,Cambridge University,,
metadata,aliases,string,Cambridge,,
metadata,aliases,string,Universitas Cantabrigiensis,,
metadata,aliases,string,"The Chancellor, Masters, and Scholars of the University of Cambridge",,
metadata,aliases,string,The University of Cambridge,,
metadata,aliases,string,University of Cambridge,,
metadata,qid,externalid,Q35794,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,15991097,,
statements,place,item,ibi4Gjwz,,
statements,country,item,KmPGztnu,,United Kingdom
