nodegoat_field,category,data_type,faam_property,lod_url,base_url
id,metadata,id,id,http://schema.org/identifier,
nodegoat_id,metadata,id,nodegoat_id,http://schema.org/identifier,
Name,metadata,string,label,http://www.w3.org/2004/02/skos/core#prefLabel,
Wikidata Label,metadata,string,aliases,http://www.w3.org/2004/02/skos/core#altLabel,
Wikidata Aliases,metadata,string,aliases,http://www.w3.org/2004/02/skos/core#altLabel,
Wikidata Description,metadata,string,description,http://schema.org/description,
Wikidata QID,metadata,externalid,qid,http://schema.org/identifier,http://wwww.wikidata.org/entity/
Aliases,metadata,string,aliases,http://www.w3.org/2004/02/skos/core#altLabel,
GeoNames ID,statements,externalid,GeoNames ID,https://www.geonames.org/,https://www.geonames.org/
GeoNamesID,statements,externalid,GeoNames ID,https://www.geonames.org/,https://www.geonames.org/
place,statements,item,place,http://schema.org/location,
country,statements,item,country,http://schema.org/location,
subclass of,statements,item,subclass of,http://www.wikidata.org/entity/P279,
instance of,statements,item,type,http://www.wikidata.org/entity/P31,
musical parameter,statements,item,musical parameter,,
used by,statements,item,used by,http://www.wikidata.org/entity/P1535,
Official website,statements,url,website,http://schema.org/url,
Copyright,statements,string,copyright,http://schema.org/copyrightNotice,
abbreviation,metadata,string,abbreviation,http://www.wikidata.org/entity/P1813,
IMSLP ID,statements,externalid,IMSLP ID,http://www.wikidata.org/entity/P839,"https://imslp.org/wiki/"""
RISM ID,statements,externalid,RISM ID,http://www.wikidata.org/entity/P5504,"https://rism.online/"""
VIAF ID,statements,externalid,VIAF ID,http://www.wikidata.org/entity/P214,"https://viaf.org/viaf/"""
CPDL ID,statements,externalid,CPDL ID,http://www.wikidata.org/entity/P2000,https://www.cpdl.org/wiki/index.php/
Form of creative work,statements,item,form of creative work,http://www.wikidata.org/entity/P7937,
composer,statements,item,creator,http://schema.org/creator,
arranger,statements,item,adapted by,http://www.wikidata.org/entity/P5202,
based on,statements,item,based on,http://schema.org/isBasedOn,
image,statements,image,image,http://schema.org/image,
date of birth,statements,date,date of birth,http://schema.org/birthDate,
date of death,statements,date,date of death,http://schema.org/deathDate,
role,statements,item,role,,
related to,statements,item,related to,,
occupation,statements,item,occupation,https://schema.org/hasOccupation,
sex or gender,statements,item,sex or gender,http://www.wikidata.org/entity/P21,
country of citizenship,statements,item,nationality,http://schema.org/nationality,
place of birth,statements,item,place of birth,http://schema.org/birthPlace,
place of death,statements,item,place of death,http://schema.org/deathPlace,
instrument,statements,item,instrument,http://www.wikidata.org/entity/P1303,
student of,statements,item,influenced by,http://www.wikidata.org/entity/P737,
educated at,statements,item,educated at,http://schema.org/alumniOf,
employer,statements,item,employer,http://www.wikidata.org/entity/P108,
FAAM-ID,metadata,id,FAAM manifestation ID,http://schema.org/identifier,
Title,metadata,string,label,http://www.w3.org/2004/02/skos/core#prefLabel,
Permalink,metadata,url,permalink,http://schema.org/url,
Shelfmark,metadata,string,call number,http://www.wikidata.org/entity/P217,
Thumbnail,resources,image,thumb,http://schema.org/image,
Notes - Text,statements,html,note,http://www.w3.org/2009/08/skos-reference/skos.html#note,
Notes,statements,item,related item,http://www.w3.org/2009/08/skos-reference/skos.html#related,
GitHub Image URL,resources,url,GitHub,http://schema.org/url,
Sections - Text,statements,html,sections,,
Sections,statements,item,related item,http://www.w3.org/2009/08/skos-reference/skos.html#related,
Editorial annotations,statements,item,editorial annotation,,
Handwritten annotations,statements,item,handwritten annotation,,
Holding Institution,statements,item,provenance,http://purl.org/dc/terms/provenance,
Related Manifestations,statements,item,related item,http://www.w3.org/2009/08/skos-reference/skos.html#related,
Score format,statements,item,score format,,
Keywords,statements,item,keyword,http://purl.org/dc/elements/1.1/subject,
Instrumentation,statements,item,instrumentation,http://www.wikidata.org/entity/P870,
Score complexity,statements,item,score complexity,,
Musical Works,statements,item,musical work,http://schema.org/hasPart,
[Agent] Agent,statements,statement,agent,http://schema.org/contributor,
[Agent] Role,statements,item,role,,
[Agent] Location Reference,statements,item,place,http://cidoc-crm.org/cidoc-crm/7.1.3/P7_took_place_at,
[Agent] Date Start,statements,date,date,http://cidoc-crm.org/cidoc-crm/7.1.3/P4_has_time-span,
[Organisation] Organisation,statements,statement,agent,http://schema.org/contributor,
[Organisation] Role,statements,item,role,,
[Organisation] Location Reference,statements,item,place,http://cidoc-crm.org/cidoc-crm/7.1.3/P7_took_place_at,
[Organisation] Date Start,statements,date,date,http://cidoc-crm.org/cidoc-crm/7.1.3/P4_has_time-span,
