"Object ID",FAAM-ID,Title,"Editorial annotations - Object ID","Handwritten annotations - Object ID"
15992243,KCA-030902839330,"En Ardennes : scène pastorale pour hautbois avec accompagnement de piano",,15992180
15992243,KCA-030902839330,"En Ardennes : scène pastorale pour hautbois avec accompagnement de piano",,15992162
15992257,KCA-030902839338,"En Ardennes : scène pastorale pour hautbois avec accompagnement de piano",,15992180
15992257,KCA-030902839338,"En Ardennes : scène pastorale pour hautbois avec accompagnement de piano",,15992162
15992258,KCA-030902707600,"30 pièces classiques : pour trompette en b",,15996285
15992258,KCA-030902707600,"30 pièces classiques : pour trompette en b",,15992131
15992258,KCA-030902707600,"30 pièces classiques : pour trompette en b",,15992201
15992258,KCA-030902707600,"30 pièces classiques : pour trompette en b",,15992105
15992258,KCA-030902707600,"30 pièces classiques : pour trompette en b",,15992143
15992258,KCA-030902707600,"30 pièces classiques : pour trompette en b",,15992127
15992259,KCA-030904186639,"Groeninghe : (de leeuwen dansen): voor massaVoice enOrchestra",,15992229
15992259,KCA-030904186639,"Groeninghe : (de leeuwen dansen): voor massaVoice enOrchestra",,15992180
15992259,KCA-030904186639,"Groeninghe : (de leeuwen dansen): voor massaVoice enOrchestra",,15992113
15992259,KCA-030904186639,"Groeninghe : (de leeuwen dansen): voor massaVoice enOrchestra",,15992112
15992259,KCA-030904186639,"Groeninghe : (de leeuwen dansen): voor massaVoice enOrchestra",,15992203
15992259,KCA-030904186639,"Groeninghe : (de leeuwen dansen): voor massaVoice enOrchestra",,15992204
15992259,KCA-030904186639,"Groeninghe : (de leeuwen dansen): voor massaVoice enOrchestra",,15992201
15992259,KCA-030904186639,"Groeninghe : (de leeuwen dansen): voor massaVoice enOrchestra",,15992153
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992112
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992113
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992143
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992156
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992107
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992134
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992138
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992153
15992260,KCA-030902518254,"Etudes: pour piano préparatoires à la polyphonie",,15992114
15992261,KCA-030902639415,"Légende du Doudou",,15996285
15992261,KCA-030902639415,"Légende du Doudou",,15996291
15992261,KCA-030902639415,"Légende du Doudou",,15992229
15992261,KCA-030902639415,"Légende du Doudou",,15992201
15992261,KCA-030902639415,"Légende du Doudou",,15992113
15992261,KCA-030902639415,"Légende du Doudou",,15992112
15992261,KCA-030902639415,"Légende du Doudou",,15992131
15992261,KCA-030902639415,"Légende du Doudou",,15992127
15992261,KCA-030902639415,"Légende du Doudou",,15992116
15992261,KCA-030902639415,"Légende du Doudou",,15992128
15992261,KCA-030902639415,"Légende du Doudou",,15992177
15992261,KCA-030902639415,"Légende du Doudou",,16002135
15992261,KCA-030902639415,"Légende du Doudou",,15992203
15992261,KCA-030902639415,"Légende du Doudou",,15992204
