category,faam_property,type,value,base_url,label
metadata,label,string,Chappell & Co.,,
metadata,label,string,Chappell & Co.,,
metadata,description,string,English music publisher and piano manufacturer,,
metadata,nodegoat_id,id,16004246,,
metadata,aliases,string,Chappell & Co.,,
metadata,qid,externalid,Q5073368,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,127005193,https://viaf.org/viaf/,
statements,instance of,item,2fXfbLCV,,music publishing company
statements,role,item,GBgJfRbK,,publishing company
statements,related to,item,Vm5DPnGE,,vocal pedagogy
statements,nationality,item,MGBpLC55,,United Kingdom
statements,place of birth,item,bsTArmEN,,London
