category,faam_property,type,value,base_url
metadata,label,string,event producer,
metadata,description,string,"person specializing in planning and execution of parties, events, exhibitions, meetings, conventions, weddings and other things",
metadata,aliases,string,organiser,
metadata,aliases,string,planner,
metadata,aliases,string,event planner,
metadata,aliases,string,party planner,
metadata,aliases,string,convention organizer,
metadata,aliases,string,meeting organizer,
metadata,aliases,string,exhibition organizer,
metadata,aliases,string,organizer,
metadata,aliases,string,event promoter,
metadata,aliases,string,event organizer,
metadata,qid,externalid,Q1419997,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,0,
