category,faam_property,type,value,base_url
metadata,label,string,Traité de la fugue. 1ere partie : De la fugue d' école,
metadata,description,string,,
metadata,id,id,3txmpKRq,
metadata,nodegoat_id,id,16004112,
metadata,FAAM manifestation ID,id,BNF-43009177x,
metadata,call number,string,VM8-1499,
metadata,score format,item,ifXZogMQ,
metadata,score complexity,item,iTQMfTAE,
statements,provenance,item,Y7xwGJo8,
statements,keyword,item,Sdw2foGQ,
statements,keyword,item,9farY66Z,
statements,instrumentation,item,KJkThvsq,
statements,instrumentation,item,GoXpNrsh,
statements,role,item,45qo3Fj3,
statements,role,item,GBgJfRbK,
resources,thumb,image,BNF-43009177x.gif,../assets/images/thumbs/
