category,faam_property,type,value,base_url
metadata,label,string,Hanover,
metadata,description,string,"town in Grafton County, New Hampshire, United States",
metadata,id,id,4Pzqx895,
metadata,nodegoat_id,id,0,
metadata,qid,externalid,Q131908,http://wwww.wikidata.org/entity/
metadata,aliases,string,Hanover,
metadata,aliases,string,"Hanover, New Hampshire",
metadata,aliases,string,"Hanover, N.H.",
metadata,aliases,string,"Hanover, NH",
statements,GeoNames ID,externalid,5087168,https://www.geonames.org/
