category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 36,,
metadata,label,string,"Keyboard Sonata in A minor, K.36",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,nodegoat_id,id,16003428,,
metadata,aliases,string,Sonata K. 36,,
metadata,qid,externalid,Q74594944,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in A minor, K.36 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,292518635,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,YdWwzL5r,,Carl Czerny
