category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Sonatine : pour le piano,,
metadata,description,string,,,
metadata,id,id,53bB3Yq8,,
metadata,nodegoat_id,id,15992712,,
metadata,FAAM manifestation ID,id,KCA-030902737540,,
metadata,call number,string,MM-TP-RAVEL-sona-1,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1905,,
statements,editorial annotation,item,WtvibJFF,,
statements,editorial annotation,item,NsEoE4RP,,
statements,editorial annotation,item,iWuVLJam,,
statements,editorial annotation,item,AeKhRWCB,,
statements,handwritten annotation,item,XutP4SZN,,
statements,handwritten annotation,item,J6ERsasy,,
statements,handwritten annotation,item,6cyBEJLr,,
statements,handwritten annotation,item,3ts8CrNB,,
statements,handwritten annotation,item,oPdg4LDz,,
statements,provenance,item,6vrn9seu,,
statements,keyword,item,E2chmtzQ,,
statements,instrumentation,item,GoXpNrsh,,
statements,musical work,item,nnATE3Pg,,
statements,agent,statement,CjaU562n,fkHJwpoD||,
statements,agent,statement,LaAgXzwK,GBgJfRbK|GDeKaNeC|1905,
statements,agent,statement,CT372LTH,GoiPpGap||,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,GoiPpGap,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,KCA-030902737540.gif,,../assets/images/thumbs/
