category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Sérénade Française. ""Mon Gentil Pierrot""",,
metadata,description,string,,,
metadata,id,id,55nTv4UP,,
metadata,nodegoat_id,id,16005571,,
metadata,FAAM manifestation ID,id,ORP-20143988p68,,
metadata,call number,string,KTS1 H.11.map.008,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,note,html,"L'Illustration, N. 3321
L'Illustration, N. 3321",,
statements,date,date,20-10-1906,,
statements,provenance,item,TrYWxDhL,,
statements,keyword,item,hxYumS2J,,
statements,instrumentation,item,GoXpNrsh,,
statements,instrumentation,item,KJkThvsq,,
statements,agent,statement,6NihvnWd,fkHJwpoD||,
statements,agent,statement,6NihvnWd,fkHJwpoD||,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|20-10-1906,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,GBgJfRbK,,
statements,place,item,GDeKaNeC,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,ORP-20143988p68.gif,,../assets/images/thumbs/
