category,faam_property,type,value,base_url,label
metadata,label,string,Eugène Delisle,,
metadata,label,string,Eugène Delisle,,
metadata,description,string,French composer,,
metadata,id,id,59Gytzgz,,
metadata,nodegoat_id,id,16005254,,
metadata,aliases,string,Eugène Delisle,,
metadata,qid,externalid,Q131830361,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,305837904,https://viaf.org/viaf/,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
