category,faam_property,type,value,base_url,label
metadata,label,string,Pietro Castrucci,,
metadata,label,string,Pietro Castrucci,,
metadata,description,string,Italian musician,,
metadata,id,id,5DSyG2Yb,,
metadata,nodegoat_id,id,15995856,,
metadata,aliases,string,Pietro Castrucci,,
metadata,qid,externalid,Q323450,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,71577360,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30013740,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Castrucci,_Pietro",https://imslp.org/wiki/,
statements,date of birth,date,1679-01-01,,
statements,date of death,date,1752-03-07,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,6phaDvy8,,concertmaster
statements,sex or gender,item,VAnkqco6,,male
statements,place of birth,item,fZUC7W4e,,Rome
statements,place of death,item,TUzS2eS4,,Dublin
statements,instrument,item,VZE4bgeN,,violin
resources,image,image,Enraged_musician.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
