category,faam_property,type,value,base_url,label
metadata,label,string,Henri Expert,,
metadata,label,string,Henri Expert,,
metadata,description,string,French writer and musicologist (1863–1952),,
metadata,id,id,5NNGqwP9,,
metadata,nodegoat_id,id,16002782,,
metadata,aliases,string,Henry Expert,,
metadata,aliases,string,Henri Expert,,
metadata,qid,externalid,Q3784849,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,7540387,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30107729,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Expert,_Henry",https://imslp.org/wiki/,
statements,date of birth,date,1863-05-12,,
statements,date of death,date,1952-08-18,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,45qo3Fj3,,music editor
statements,related to,item,FSduWvy5,,early music
statements,occupation,item,YYyZX3aY,,musicologist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,3vFtsNzx,,Bordeaux
statements,place of death,item,kRdEMnm7,,Tourrettes-sur-Loup
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
