category,faam_property,type,value,base_url,label
metadata,label,string,Hans von Bülow,,
metadata,label,string,Hans von Bülow,,
metadata,description,string,German conductor and pianist (1830–1894),,
metadata,nodegoat_id,id,15996016,,
metadata,aliases,string,Hans von Bulow,,
metadata,aliases,string,Hans Guido Freiherr von Bülow,,
metadata,aliases,string,Guido von Bülow,,
metadata,aliases,string,Hans von Bülow,,
metadata,qid,externalid,Q155540,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,89610488,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/107446,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Bülow,_Hans_von",https://imslp.org/wiki/,
statements,date of birth,date,1830-01-08,,
statements,date of death,date,1894-02-12,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,45qo3Fj3,,music editor
statements,related to,item,FSduWvy5,,early music
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,9jaW5gj6,,librarian
statements,occupation,item,JLMnmzmn,,fermier général
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,oDvJJJ7G,,Germany
statements,nationality,item,EjofKZsr,,Kingdom of Saxony
statements,place of birth,item,MCyXT4P3,,Dresden
statements,place of death,item,RKZUmp9Q,,Cairo
statements,instrument,item,GoXpNrsh,,piano
statements,influenced by,item,AW2h5fHS,,
statements,influenced by,item,ewwggKDh,,Franz Liszt
statements,educated at,item,cc2zjtBZ,,Leipzig University
statements,employer,item,nBr3fU79,,Klindworth-Scharwenka Conservatory
