category,faam_property,type,value,base_url,label
metadata,label,string,Paul Dukas,,
metadata,label,string,Paul Dukas,,
metadata,description,string,French composer (1865–1935),,
metadata,nodegoat_id,id,15996103,,
metadata,aliases,string,Paul Abraham Dukas,,
metadata,aliases,string,Paul Dukas,,
metadata,qid,externalid,Q215556,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,42025062,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/40221423,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Dukas,_Paul",https://imslp.org/wiki/,
statements,date of birth,date,1865-10-01,,
statements,date of death,date,1935-05-17,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,2e3yeRss,,choreographer
statements,occupation,item,Ygb8LLjd,,pedagogue
statements,occupation,item,6XD3homi,,music educator
statements,occupation,item,ZX7Jzf9y,,university teacher
statements,occupation,item,RHfvaKqY,,pianist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,fJuUiMzs,,1st arrondissement of Paris
statements,place of death,item,NTVdRo4W,,Paris
statements,instrument,item,GoXpNrsh,,piano
statements,influenced by,item,hqAkT6Xz,,
statements,influenced by,item,eCz67vzY,,Théodore Dubois
statements,influenced by,item,9eEbeRLM,,
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
statements,employer,item,FE9iomj6,,École Normale de Musique de Paris Alfred Cortot
