category,faam_property,type,value,base_url,label
metadata,label,string,Pierre Leduc,,
metadata,label,string,Pierre Leduc,,
metadata,description,string,French music publisher (1755-1826),,
metadata,id,id,6KW9RC6C,,
metadata,nodegoat_id,id,16002546,,
metadata,aliases,string,Pierre Leduc,,
metadata,qid,externalid,Q20656120,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,56877161,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/50040110,https://rism.online/,
statements,date of birth,date,1755-02-17,,
statements,date of death,date,1826-10-18,,
statements,instance of,item,ZwquHrbe,,human
statements,instance of,item,2fXfbLCV,,music publishing company
statements,role,item,GBgJfRbK,,publishing company
statements,related to,item,HwcYgL5C,,salon music
statements,related to,item,MaWnCnVw,,arrangement
statements,occupation,item,9joWzZuU,,opera composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,nYgzSdLz,,Saint-Quentin
statements,place of death,item,3vFtsNzx,,Bordeaux
statements,instrument,item,VZE4bgeN,,violin
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
