category,faam_property,type,value,base_url,label
metadata,label,string,Paul Verlaine,,
metadata,label,string,Paul Verlaine,,
metadata,description,string,French poet (1844–1896),,
metadata,nodegoat_id,id,16002354,,
metadata,aliases,string,Paul-Marie Verlaine,,
metadata,aliases,string,Paul Verlaine,,
metadata,qid,externalid,Q755,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,4937684,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30041538,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Verlaine,_Paul",https://imslp.org/wiki/,
statements,date of birth,date,1844-03-30,,
statements,date of death,date,1896-01-08,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,ipShXcQo,,librettist
statements,occupation,item,RBYR5Rtm,,virtuoso
statements,occupation,item,HFXn6pSD,,writer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,PDouTdyD,,Metz
statements,place of death,item,NTVdRo4W,,Paris
statements,educated at,item,KN2a4PhV,,Lycée Condorcet
