category,faam_property,type,value,label,qualifiers
metadata,label,string,Prélude,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005516,,
metadata,FAAM manifestation ID,id,ORP-20143988p13,,
metadata,call number,string,KTS1 H.11.map.008,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,note,html,"L'Illustration, N. 3188
L'Illustration, N. 3188",,
statements,date,date,03-04-1904,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,BnDGmWVX,prelude,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|03-04-1904
statements,role,item,fkHJwpoD,composer,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
