category,faam_property,type,value,base_url,label
metadata,label,string,Ludwig Wilhelm Maurer,,
metadata,label,string,Ludwig Wilhelm Maurer,,
metadata,description,string,"German composer, conductor and violinist",,
metadata,id,id,7MVtJkCQ,,
metadata,nodegoat_id,id,15995645,,
metadata,aliases,string,Ludwig Wilhelm Maurer,,
metadata,qid,externalid,Q830732,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,72156035,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/86260,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Maurer,_Ludwig_Wilhelm",https://imslp.org/wiki/,
statements,date of birth,date,1789-02-08,,
statements,date of death,date,1878-10-25,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,2KT5AU2p,,conductor
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,irSPevuD,,violinist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,oDvJJJ7G,,Germany
statements,place of birth,item,SNTscv2E,,Potsdam
statements,place of death,item,AzqRtNds,,Saint Petersburg
statements,instrument,item,VZE4bgeN,,violin
resources,image,image,Ludwig_Wilhelm_Maurer.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
