category,faam_property,type,value,base_url,label
metadata,label,string,Nicola Matteis,,
metadata,label,string,Nicola Matteis,,
metadata,description,string,Italian composer,,
metadata,nodegoat_id,id,15995861,,
metadata,aliases,string,Nicola Matteis,,
metadata,qid,externalid,Q952236,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,101096342,https://viaf.org/viaf/,
statements,IMSLP ID,externalid,"Category:Matteis,_Nicola",https://imslp.org/wiki/,
statements,date of birth,date,1650,,
statements,date of death,date,1713-01-01,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,irSPevuD,,violinist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,4UgAZMRB,,Kingdom of Naples
statements,nationality,item,9xF8UfJQ,,Kingdom of Great Britain
statements,place of birth,item,RjXv6xhJ,,Naples
statements,place of death,item,bsTArmEN,,London
statements,instrument,item,VZE4bgeN,,violin
statements,instrument,item,ESwP43qy,,guitar
