category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Septet in C ""Militaire"" Oeuvre 114 : voor piano, Flute, Clarinet, trompet, Violin, cello en DoubleBass",,
metadata,description,string,,,
metadata,id,id,7dq75gam,,
metadata,nodegoat_id,id,15992605,,
metadata,FAAM manifestation ID,id,KCG-000350286,,
metadata,call number,string,II-5 (BIS),,
metadata,score format,item,mrQyCLJX,,
metadata,score format,item,g5WgfTuF,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1848,,
statements,handwritten annotation,item,eviEKifd,,
statements,handwritten annotation,item,CPJ2a2C2,,
statements,handwritten annotation,item,VMA2AmEN,,
statements,handwritten annotation,item,6cyBEJLr,,
statements,handwritten annotation,item,B7WuhvkL,,
statements,handwritten annotation,item,bsgSL8K5,,
statements,provenance,item,hQcqj8e8,,
statements,keyword,item,6kwYh3HH,,
statements,instrumentation,item,GoXpNrsh,,
statements,instrumentation,item,ZzdCbB2M,,
statements,instrumentation,item,VZE4bgeN,,
statements,instrumentation,item,4oyT6BBG,,
statements,instrumentation,item,5cucf8tb,,
statements,instrumentation,item,MV3uErvy,,
statements,instrumentation,item,4AUBYBXJ,,
statements,musical work,item,H8g96wVM,,
statements,agent,statement,3NyookEG,GoiPpGap|8LdweD7c|1848,
statements,agent,statement,kZj58UuH,fkHJwpoD||,
statements,role,item,GoiPpGap,,
statements,role,item,fkHJwpoD,,
statements,place,item,8LdweD7c,,
resources,thumb,image,KCG-000350286.gif,,../assets/images/thumbs/
