category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Potpourri : pour la Flûte avec Accompagt de Piano sur des motifs de l'opéra I Montecchi ed I capuletti de Bellini : Op: 55.,,
metadata,description,string,,,
metadata,id,id,7drHJ62N,,
metadata,nodegoat_id,id,15992743,,
metadata,FAAM manifestation ID,id,KCG-000337038,,
metadata,call number,string,DS4623,,
metadata,score format,item,ktjyHrtb,,
metadata,score format,item,g5WgfTuF,,
metadata,score complexity,item,iTQMfTAE,,
statements,editorial annotation,item,CPJ2a2C2,,
statements,editorial annotation,item,9dz9ydpz,,
statements,editorial annotation,item,YRq3pSH7,,
statements,editorial annotation,item,WtvibJFF,,
statements,editorial annotation,item,A4NPbBsi,,
statements,editorial annotation,item,iWuVLJam,,
statements,provenance,item,hQcqj8e8,,
statements,keyword,item,CyNW3XCU,,
statements,keyword,item,MaWnCnVw,,
statements,keyword,item,hxYumS2J,,
statements,keyword,item,6kwYh3HH,,
statements,keyword,item,adAmqPwn,,
statements,keyword,item,HwcYgL5C,,
statements,instrumentation,item,MV3uErvy,,
statements,instrumentation,item,GoXpNrsh,,
statements,musical work,item,3LqVwWmn,,
statements,musical work,item,HNntsZQD,,
statements,agent,statement,JGR5Pepj,fkHJwpoD||,
statements,agent,statement,McYQNvK3,fkHJwpoD||,
statements,agent,statement,JEZ5AweR,GBgJfRbK|Ba3nT5xs|,
statements,agent,statement,JGR5Pepj,fkHJwpoD||,
statements,agent,statement,McYQNvK3,fkHJwpoD||,
statements,agent,statement,JEZ5AweR,GBgJfRbK|Ba3nT5xs|,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,place,item,Ba3nT5xs,,
statements,place,item,Ba3nT5xs,,
resources,thumb,image,KCG-000337038.gif,,../assets/images/thumbs/
