category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Le Papillon. (Étude de légeté). Op. 12,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005486,,,
metadata,FAAM manifestation ID,id,ORP-20143700p37,,,
metadata,call number,string,KTS1 H.11.map.006,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"L'Illustration, N. 3160
L'Illustration, N. 3160",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,6wpp746x,,programme music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|19-09-1903
