category,faam_property,type,value,base_url,label
metadata,label,string,Franz Eck,,
metadata,description,string,German violinist,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q16191541,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,52768797,https://viaf.org/viaf/,
statements,date of birth,date,1774-00-00,,
statements,date of death,date,1804-00-00,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,irSPevuD,,violinist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,oDvJJJ7G,,Germany
statements,place of birth,item,kbDNt9VZ,,Mannheim
statements,place of death,item,LWXW9kAQ,,Strasbourg
statements,instrument,item,VZE4bgeN,,violin
