category,faam_property,type,value,qualifiers,base_url
metadata,label,string,1er trio : pour Harpe Flute et COr: op. 14,,
metadata,description,string,,,
metadata,id,id,8rzV3wbR,,
metadata,nodegoat_id,id,16003999,,
metadata,FAAM manifestation ID,id,KCG-000750013,,
metadata,call number,string,V-B-00439 (12)-HA,,
metadata,score format,item,mrQyCLJX,,
statements,date,date,,,
statements,editorial annotation,item,WT9AcUBt,,
statements,editorial annotation,item,eviEKifd,,
statements,editorial annotation,item,ZdpNGGJP,,
statements,editorial annotation,item,Rg6UtZ34,,
statements,editorial annotation,item,9dz9ydpz,,
statements,editorial annotation,item,B7WuhvkL,,
statements,editorial annotation,item,Wpq9sxzm,,
statements,editorial annotation,item,YCgBhPNn,,
statements,editorial annotation,item,UDva945b,,
statements,editorial annotation,item,6cyBEJLr,,
statements,editorial annotation,item,Di2mC26w,,
statements,editorial annotation,item,NFazQXR2,,
statements,editorial annotation,item,NsEoE4RP,,
statements,editorial annotation,item,WtvibJFF,,
statements,editorial annotation,item,McMWybdZ,,
statements,editorial annotation,item,UfinksVv,,
statements,provenance,item,hQcqj8e8,,
statements,related item,item,aQgptH4L,,
statements,related item,item,MV3uErvy,,
statements,related item,item,N3AKKugd,,
statements,keyword,item,hxYumS2J,,
statements,keyword,item,MaWnCnVw,,
statements,keyword,item,HwcYgL5C,,
statements,keyword,item,6PUP9Ffx,,
statements,instrumentation,item,aQgptH4L,,
statements,musical work,item,jQabkSat,,
statements,musical work,item,Db69iKdd,,
statements,musical work,item,djDjePrU,,
statements,agent,statement,eCz67vzY,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,8gCqf5Kb,fkHJwpoD||,
statements,agent,statement,WVwrkfen,fkHJwpoD||,
statements,agent,statement,eCz67vzY,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,8gCqf5Kb,fkHJwpoD||,
statements,agent,statement,WVwrkfen,fkHJwpoD||,
statements,agent,statement,eCz67vzY,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,8gCqf5Kb,fkHJwpoD||,
statements,agent,statement,WVwrkfen,fkHJwpoD||,
statements,role,item,GBgJfRbK,,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,place,item,GDeKaNeC,,
statements,place,item,GDeKaNeC,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,KCG-000750013.gif,,../assets/images/thumbs/
