category,faam_property,type,value,base_url,label
metadata,label,string,Brepols,,
metadata,label,string,Brepols,,
metadata,description,string,Belgian publisher,,
metadata,nodegoat_id,id,16002645,,
metadata,aliases,string,Brepols & Dierckx Zoon,,
metadata,aliases,string,Brepols en Dierckx zoon,,
metadata,aliases,string,Brepols Naamlooze Vennootschap,,
metadata,aliases,string,Brepols Publishers NV,,
metadata,aliases,string,Brepols Publishers,,
metadata,aliases,string,Brepols,,
metadata,qid,externalid,Q981917,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,167716968,https://viaf.org/viaf/,
statements,instance of,item,2fXfbLCV,,music publishing company
statements,role,item,GBgJfRbK,,publishing company
statements,occupation,item,9joWzZuU,,opera composer
statements,nationality,item,QbfXawnE,,Belgium
