category,faam_property,type,value,base_url,label
metadata,label,string,Gustave Huberti,,
metadata,description,string,Belgian composer and musician,,
metadata,id,id,AHz5Dq7p,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q3121215,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,27837911,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/104030,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Huberti,_Gustave",https://imslp.org/wiki/,
statements,date of birth,date,1843-04-14,,
statements,date of death,date,1910-06-28,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,QbfXawnE,,Belgium
statements,place of birth,item,Beq72mMD,,Brussels metropolitan area
statements,place of death,item,guaeGxZM,,Schaerbeek - Schaarbeek
statements,influenced by,item,4tDcUzEt,,François-Joseph Fétis
statements,educated at,item,Yj5tRovx,,Royal Conservatory of Brussels
resources,image,image,Gustave_Huberti.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
