category,faam_property,type,value,base_url,label
metadata,label,string,Charles Baudiot,,
metadata,label,string,Charles Baudiot,,
metadata,description,string,"French cellist, composer and music educator",,
metadata,id,id,Ac9Tt9ea,,
metadata,nodegoat_id,id,15996087,,
metadata,aliases,string,Charles-Nicolas Baudiot,,
metadata,aliases,string,Charles Baudiot,,
metadata,qid,externalid,Q2958497,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,19947134,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/8431,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Baudiot,_Charles_Nicolas",https://imslp.org/wiki/,
statements,date of birth,date,1773-03-29,,
statements,date of death,date,1849-09-26,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,dg4VBYfA,,cellist
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,6XD3homi,,music educator
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,djKbyqEB,,Nancy
statements,place of death,item,NTVdRo4W,,Paris
statements,instrument,item,4oyT6BBG,,cello
statements,influenced by,item,NY6ie2gV,,
statements,educated at,item,YTxZ8vfN,,Conservatoire National Supérieur de Musique et de Danse
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
