category,faam_property,type,value,base_url,label
metadata,label,string,Missa Aeterna Christi munera,,
metadata,label,string,Missa Aeterna Christi munera,,
metadata,description,string,mass by Giovanni Pierluigi da Palestrina,,
metadata,id,id,AubBmT6R,,
metadata,nodegoat_id,id,16001999,,
metadata,aliases,string,Missa Aeterna Christi munera,,
metadata,qid,externalid,Q124309967,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Missa Aeterna Christi munera (Palestrina, Giovanni Pierluigi da)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,180504812,https://viaf.org/viaf/,
statements,form of creative work,item,oQTyk8An,,mass
statements,form of creative work,item,cRanApmp,,parody mass
statements,form of creative work,item,eCYL2PkE,,liturgical music
statements,creator,item,Ddx923Ut,,Giovanni Pierluigi da Palestrina
statements,adapted by,item,CJgFHXHi,,Napoléon Joseph Ney
statements,adapted by,item,VsAY6UsF,,Stephan Lück
statements,adapted by,item,oJp9H3YJ,,George Clement Martin
