category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Messe Papae Marcelli: à 6 voix,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16002807,,,
metadata,FAAM manifestation ID,id,KCA-030901762242,,,
metadata,call number,string,MM-KA-OLVKA-archief-1507,,,
metadata,score format,item,guXbuHaq,,Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,JXYgRRuc,,musica ficta,
statements,editorial annotation,item,8N6k5W5i,,accidental,
statements,handwritten annotation,item,8N6k5W5i,,accidental,
statements,handwritten annotation,item,TUdHPWU8,,alternative melody,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,YVdQHjKd,,choral music,
statements,keyword,item,ZMpsLcpT,,Cecilian Movement,
statements,keyword,item,Jz7WgRXa,,polyphony,
statements,keyword,item,Gx3B7DJH,,early music,
statements,instrumentation,item,nJY8Xxwz,,choir,
statements,musical work,item,P2qUeis2,,"Missa Papae Marcelli, IGP 56",
statements,agent,statement,DDH7fEFM,,Anonymous,6UPEJgTQ||
statements,agent,statement,nHfR4BAi,,Giovanni Pierluigi da Palestrina,YvQmwaaW||
