category,faam_property,type,value,base_url,label
metadata,label,string,Frédéric Chopin,,
metadata,label,string,Frédéric Chopin,,
metadata,description,string,Polish composer and pianist (1810–1849),,
metadata,id,id,B8C32cCH,,
metadata,nodegoat_id,id,15995992,,
metadata,aliases,string,Frédéric Chopin,,
metadata,qid,externalid,Q1268,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,71319254,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/51160,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Chopin,_Frédéric",https://imslp.org/wiki/,
statements,date of birth,date,1810-02-22,,
statements,date of death,date,1849-10-17,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,RHfvaKqY,,pianist
statements,occupation,item,6XD3homi,,music educator
statements,occupation,item,RBYR5Rtm,,virtuoso
statements,occupation,item,PUmeYeCQ,,musician
statements,occupation,item,Ygb8LLjd,,pedagogue
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,nationality,item,WKTLcAet,,Russian Empire
statements,nationality,item,CMT5inoa,,Duchy of Warsaw
statements,nationality,item,JBHKU6pt,,Congress Poland
statements,nationality,item,RZL8TGW9,,French Second Republic
statements,nationality,item,JRTTuQvY,,Poland
statements,place of birth,item,i4kzcYGQ,,Żelazowa Wola
statements,place of death,item,NTVdRo4W,,Paris
statements,instrument,item,GoXpNrsh,,piano
statements,influenced by,item,YTuNb4Po,,
statements,influenced by,item,CQyGQhkV,,
statements,influenced by,item,juzW8HfZ,,
statements,educated at,item,X8LwLGC9,,Chopin University of Music
resources,image,image,Frederic_Chopin_photo.jpeg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
