category,faam_property,type,value,base_url,label
metadata,label,string,Francesco Basili,,
metadata,description,string,Italian composer and conductor,,
metadata,id,id,BAGKZCrn,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q3749608,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,44565195,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/177938,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Basili,_Francesco",https://imslp.org/wiki/,
statements,date of birth,date,1767-01-31,,
statements,date of death,date,1850-03-25,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,2KT5AU2p,,conductor
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,RHfvaKqY,,pianist
statements,occupation,item,L7bRkYff,,chapelmaster
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,7isyBsAv,,Italy
statements,place of birth,item,NFucdNg8,,Loreto
statements,place of death,item,fZUC7W4e,,Rome
statements,influenced by,item,AKKxqvwM,,
statements,influenced by,item,WGDB3i6K,,
statements,influenced by,item,eFLbsRrc,,
resources,image,image,FrancescoBasily.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
