category,faam_property,type,value,base_url,label
metadata,label,string,National Museum in Kraków,,
metadata,label,string,National Museum in Kraków,,
metadata,description,string,"museum in Krakow, Poland",,
metadata,nodegoat_id,id,15992250,,
metadata,qid,externalid,Q195311,http://wwww.wikidata.org/entity/,
metadata,abbreviation,string,KNM,,
metadata,aliases,string,"National Museum, Krakow",,
metadata,aliases,string,National Museum Krakow,,
metadata,aliases,string,National Museum in Krakow,,
metadata,aliases,string,Muzeum Narodowe w Krakowie,,
metadata,aliases,string,National Museum in Kraków,,
statements,copyright,string,© National Museum in Kraków,,
statements,place,item,Hz6qkXNY,,Kraków
statements,country,item,JRTTuQvY,,Poland
