category,faam_property,type,value,label,qualifiers
metadata,label,string,Namouna. Valse Lente,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005589,,
metadata,FAAM manifestation ID,id,ORP-20143988p86,,
metadata,call number,string,KTS1 H.11.map.008,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,note,html,"L'Illustration, N. 3399
L'Illustration, N. 3399",,
statements,date,date,18-04-1908,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,KWVSVF8L,exoticism,
statements,keyword,item,RHxmTGG2,dance music,
statements,keyword,item,hxYumS2J,opera,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,3GT9D7Vc,Edouard Lalo,fkHJwpoD||
statements,agent,statement,3GT9D7Vc,Edouard Lalo,fkHJwpoD||
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|18-04-1908
statements,role,item,fkHJwpoD,composer,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
