category,faam_property,type,value,base_url,label
metadata,label,string,Robert Franz,,
metadata,label,string,Robert Franz,,
metadata,description,string,German composer (1815-1892),,
metadata,id,id,D3Vekn6E,,
metadata,nodegoat_id,id,15996142,,
metadata,aliases,string,Robert Knauth,,
metadata,aliases,string,Robert Franz Julius Knauth,,
metadata,aliases,string,Robert Franz,,
metadata,qid,externalid,Q561967,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,27110440,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/72525,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Franz,_Robert",https://imslp.org/wiki/,
statements,date of birth,date,1815-06-28,,
statements,date of death,date,1892-10-24,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,2KT5AU2p,,conductor
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,RHfvaKqY,,pianist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,YUq8HaDb,,Kingdom of Prussia
statements,place of birth,item,7QJpBFA4,,Halle (Saale)
statements,place of death,item,7QJpBFA4,,Halle (Saale)
statements,instrument,item,J32Mk8QV,,pipe organ
resources,image,image,Robert_Franz.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
