category,faam_property,type,value,base_url,label
metadata,label,string,L. Corret,,
metadata,label,string,L. Corret,,
metadata,description,string,"French composer, horn player and music arranger",,
metadata,nodegoat_id,id,16002609,,
metadata,aliases,string,"L. Corret aîné, L. Corret the Elder",,
metadata,aliases,string,L. Corret,,
metadata,qid,externalid,Q126367402,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,3147602326357640657,https://viaf.org/viaf/,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,related to,item,HwcYgL5C,,salon music
statements,related to,item,MaWnCnVw,,arrangement
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,9jaW5gj6,,librarian
statements,occupation,item,93wApfkY,,horn player
statements,instrument,item,N3AKKugd,,horn
