category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Armonia,,
metadata,description,string,,,
metadata,id,id,Dfn9CZ5w,,
metadata,nodegoat_id,id,16005479,,
metadata,FAAM manifestation ID,id,ORP-20143700p30,,
metadata,call number,string,KTS1 H.11.map.006,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,note,html,"L'Illustration, N. 3154
L'Illustration, N. 3154",,
statements,date,date,08-08-1903,,
statements,provenance,item,TrYWxDhL,,
statements,instrumentation,item,GoXpNrsh,,
statements,agent,statement,NQFNyep8,fkHJwpoD||,
statements,agent,statement,NQFNyep8,fkHJwpoD||,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|08-08-1903,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,GBgJfRbK,,
statements,place,item,GDeKaNeC,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,ORP-20143700p30.gif,,../assets/images/thumbs/
