category,faam_property,type,value,base_url,label
metadata,label,string,André Gedalge,,
metadata,label,string,André Gedalge,,
metadata,description,string,French composer (1856-1926),,
metadata,nodegoat_id,id,16005323,,
metadata,aliases,string,Andre Gedalge,,
metadata,aliases,string,André Gedalge,,
metadata,qid,externalid,Q518773,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,39641346,https://viaf.org/viaf/,
statements,IMSLP ID,externalid,"Category:Gédalge,_André",https://imslp.org/wiki/,
statements,date of birth,date,1856-12-27,,
statements,date of death,date,1926-02-05,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,2e3yeRss,,choreographer
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,N3DQMCdv,,music theorist
statements,occupation,item,6XD3homi,,music educator
statements,occupation,item,ZX7Jzf9y,,university teacher
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,SZFa8mvk,,6th arrondissement of Paris
statements,place of death,item,P3CgFoLp,,Chessy
statements,influenced by,item,9eEbeRLM,,
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
