category,faam_property,type,value,base_url,label
metadata,label,string,Eugène Sauzay,,
metadata,description,string,French classical violinist and composer (1809-1901),,
metadata,id,id,Exg8rm7n,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q4426800,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,42604305,https://viaf.org/viaf/,
statements,IMSLP ID,externalid,"Category:Sauzay,_Eugène",https://imslp.org/wiki/,
statements,date of birth,date,1809-07-14,,
statements,date of death,date,1901-01-24,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,irSPevuD,,violinist
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,NTVdRo4W,,Paris
statements,place of death,item,NTVdRo4W,,Paris
statements,instrument,item,VZE4bgeN,,violin
statements,influenced by,item,eukJ9RHS,,Pierre Baillot
statements,influenced by,item,oJGctqdB,,Anton Reicha
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
resources,image,image,Eugène_Sauzay_(1809-1901)_dessin.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
