category,faam_property,type,value,qualifiers,base_url
metadata,label,string,La Bergère,,
metadata,description,string,,,
metadata,id,id,EydP2nfu,,
metadata,nodegoat_id,id,16005505,,
metadata,FAAM manifestation ID,id,ORP-20143988p2,,
metadata,call number,string,KTS1 H.11.map.008,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,note,html,"L'Illustration, N. 3175
L'Illustration, N. 3175",,
statements,date,date,02-01-1904,,
statements,provenance,item,TrYWxDhL,,
statements,instrumentation,item,GoXpNrsh,,
statements,instrumentation,item,KJkThvsq,,
statements,agent,statement,LqxUCsXV,45qo3Fj3||,
statements,agent,statement,LqxUCsXV,45qo3Fj3||,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|02-01-1904,
statements,role,item,45qo3Fj3,,
statements,role,item,45qo3Fj3,,
statements,role,item,GBgJfRbK,,
statements,role,item,GBgJfRbK,,
statements,place,item,GDeKaNeC,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,ORP-20143988p2.gif,,../assets/images/thumbs/
