category,faam_property,type,value,base_url,label
metadata,label,string,Eugeen van Oye,,
metadata,label,string,Eugeen van Oye,,
metadata,description,string,"Belgian doctor, writer, poet and publicist (1840-1926)",,
metadata,nodegoat_id,id,16002820,,
metadata,aliases,string,Eugenius Josephus Marie van Oye,,
metadata,aliases,string,Eugeen Van Oye,,
metadata,aliases,string,Eugène Van Oye,,
metadata,aliases,string,Eugeen van Oye,,
metadata,qid,externalid,Q2546317,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,73628159,https://viaf.org/viaf/,
statements,date of birth,date,1840-06-03,,
statements,date of death,date,1926-06-04,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,ipShXcQo,,librettist
statements,occupation,item,RBYR5Rtm,,virtuoso
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,QbfXawnE,,Belgium
statements,place of birth,item,NP2Jipnu,,Torhout
statements,place of death,item,VLj5Dbki,,Gistel
statements,influenced by,item,XsuqSVq8,,Guido Gezelle
statements,educated at,item,XVkxnYpp,,Klein Seminarie Roeselare
statements,educated at,item,CwDDX6Fv,,Catholic University of Leuven
statements,educated at,item,GWNpR6dv,,Ghent University
