category,faam_property,type,value,base_url,label
metadata,label,string,Aberdeen Grammar School,,
metadata,label,string,Aberdeen Grammar School,,
metadata,description,string,"state secondary school in Aberdeen, Scotland, UK",,
metadata,id,id,FX7cN3Cq,,
metadata,nodegoat_id,id,16004747,,
metadata,qid,externalid,Q4666924,http://wwww.wikidata.org/entity/,
metadata,aliases,string,the Grammar,,
metadata,aliases,string,"Aberdeen Grammar School, Skene Street, Aberdeen",,
metadata,aliases,string,Aberdeen Grammar School,,
statements,place,item,o9szzUPh,,Aberdeen City
statements,place,item,HmP7K3gY,,Aberdeen
statements,country,item,MGBpLC55,,United Kingdom
