category,faam_property,type,value,base_url,label
metadata,label,string,Antonio Cesti,,
metadata,label,string,Antonio Cesti,,
metadata,description,string,"Italian composer, singer and organist (1623-1669)",,
metadata,id,id,FnYq9xAf,,
metadata,nodegoat_id,id,15995837,,
metadata,aliases,string,Pietro Antonio Cesti,,
metadata,aliases,string,Marc' Antonio Cesti,,
metadata,aliases,string,M. A. Chesti,,
metadata,aliases,string,Marcantonio Cesti,,
metadata,aliases,string,Pietro Cesti,,
metadata,aliases,string,Antonio Cesti,,
metadata,qid,externalid,Q350695,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,34642826,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30000648,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Cesti,_Antonio",https://imslp.org/wiki/,
statements,date of birth,date,1623-08-05,,
statements,date of death,date,1669-10-14,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,fkNftdFp,,singer
statements,occupation,item,2KT5AU2p,,conductor
statements,occupation,item,PGamAZRD,,organist
statements,occupation,item,dwnQ2b9j,,bandleader
statements,sex or gender,item,VAnkqco6,,male
statements,place of birth,item,binF789o,,Arezzo
statements,place of death,item,8Xy54PC2,,Florence
statements,instrument,item,J32Mk8QV,,pipe organ
statements,instrument,item,KJkThvsq,,voice
statements,influenced by,item,oEEHimPd,,
statements,influenced by,item,7iHH9CTg,,Giacomo Carissimi
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
