category,faam_property,type,value,base_url,label
metadata,label,string,Frédéric Nicolas Duvernoy,,
metadata,description,string,composer and French horn player (1765-1838),,
metadata,id,id,GCefJocr,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q443012,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,311244685,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/26142,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Duvernoy,_Frédéric",https://imslp.org/wiki/,
statements,date of birth,date,1765-10-16,,
statements,date of death,date,1838-07-29,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,n8RY6FTC,,professor
statements,occupation,item,93wApfkY,,horn player
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,6XD3homi,,music educator
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,VgTkhpUp,,Montbéliard
statements,place of death,item,NNCtKcUB,,former 2nd arrondissement of Paris
statements,instrument,item,6KRAsBPw,,natural horn
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
resources,image,image,Portrait_du_corniste_Frédéric_Nicolas_Duvernoy_(1765-1838).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
