category,faam_property,type,value,base_url,label
metadata,label,string,fortepiano,,
metadata,description,string,Italian musical term meaning 'loud soft',,
metadata,aliases,string,Fortepiano,,
metadata,qid,externalid,Q2192323,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,15992202,,
statements,subclass of,item,HKyA3Qzz,,dynamic
statements,subclass of,item,gnJkVwmS,,forte
statements,subclass of,item,UdAgYAUZ,,piano
statements,instance of,item,fxtj72S3,,musical notation
statements,musical parameter,item,4asnL3fC,,loudness
statements,used by,item,YvQmwaaW,,composer
statements,used by,item,AcFWzeQH,,conductor
statements,used by,item,6UPEJgTQ,,editor
