category,faam_property,type,value,base_url,label
metadata,label,string,Jesu dulcis memoria,,
metadata,label,string,Jesu dulcis memoria,,
metadata,description,string,musical forgery attributed to Tomás Luis de Victoria,,
metadata,id,id,GPYgjKvG,,
metadata,nodegoat_id,id,16002024,,
metadata,aliases,string,Jesu dulcis memoria,,
metadata,qid,externalid,Q124316601,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",https://imslp.org/wiki/,
statements,CPDL ID,externalid,"Jesu,_dulcis_memoria_(Tomás_Luis_de_Victoria)",https://www.cpdl.org/wiki/index.php/,
statements,form of creative work,item,Z5LXHFLR,,motet
statements,form of creative work,item,UDgA2ki8,,musical hoax
statements,creator,item,6vGGSSEm,,Tomás Luis de Victoria
statements,adapted by,item,6ng5YJy5,,Charles Bordes
statements,adapted by,item,RPFX4byT,,Pietro Alfieri
statements,adapted by,item,CJgFHXHi,,Napoléon Joseph Ney
statements,adapted by,item,36FvuTcU,,Archibald Thompson Davison
statements,adapted by,item,VsAY6UsF,,Stephan Lück
