category,faam_property,type,value,base_url,label
metadata,label,string,Talbot,,
metadata,description,string,actor,,
metadata,id,id,Gm3YV3sS,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q3514443,http://wwww.wikidata.org/entity/,
statements,date of birth,date,1824-06-27,,
statements,date of death,date,1904-12-20,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,ATuDQeEo,,actor
statements,occupation,item,4EAcrSQM,,drama teacher
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,NNCtKcUB,,former 2nd arrondissement of Paris
statements,place of death,item,5FBtSF63,,9th arrondissement of Paris
statements,influenced by,item,iQHbhxMG,,
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
resources,image,image,Portrait_Talbot.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
