category,faam_property,type,value,qualifiers,base_url
metadata,label,string,30 pièces classiques : pour trompette en b,,
metadata,description,string,,,
metadata,id,id,GoHHp3MB,,
metadata,nodegoat_id,id,15992258,,
metadata,FAAM manifestation ID,id,KCA-030902707600,,
metadata,call number,string,MM-BT-HANDE-piece30-1,,
metadata,score format,item,g5WgfTuF,,
metadata,score complexity,item,THYV2oLw,,
statements,date,date,1907,,
statements,handwritten annotation,item,EgH6igGS,,
statements,handwritten annotation,item,VMA2AmEN,,
statements,handwritten annotation,item,eviEKifd,,
statements,handwritten annotation,item,WT9AcUBt,,
statements,handwritten annotation,item,CPJ2a2C2,,
statements,handwritten annotation,item,bsgSL8K5,,
statements,provenance,item,6vrn9seu,,
statements,keyword,item,2FVr93JH,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,MaWnCnVw,,
statements,instrumentation,item,ZzdCbB2M,,
statements,instrumentation,item,THzPKTSp,,
statements,agent,statement,L9yUonN8,GoiPpGap||1907,
statements,agent,statement,CFu7TPQo,fkHJwpoD||,
statements,role,item,GoiPpGap,,
statements,role,item,fkHJwpoD,,
resources,thumb,image,KCA-030902707600.gif,,../assets/images/thumbs/
