category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 369,,
metadata,label,string,"Keyboard Sonata in A major, K.369",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,id,id,HH6SqU4S,,
metadata,nodegoat_id,id,16003762,,
metadata,aliases,string,"Keyboard Sonata in A major, L.240",,
metadata,aliases,string,Sonata K. 369,,
metadata,qid,externalid,Q78243690,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in A major, K.369 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293840293,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,YdWwzL5r,,Carl Czerny
statements,adapted by,item,S2wjk8Yx,,Alessandro Longo
