category,faam_property,type,value,base_url,label
metadata,label,string,Lisbon Theatre and Film School,,
metadata,description,string,film school,,
metadata,aliases,string,Conservatório Nacional de Cinema,,
metadata,aliases,string,Escola Superior de Teatro e Cinema,,
metadata,aliases,string,Lisbon Theatre and Film School,,
metadata,qid,externalid,Q1367284,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,15991088,,
statements,place,item,YKgWfkbb,,
statements,place,item,She6hnVt,,
statements,country,item,9n8LTSuY,,
