category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Thalie,,
metadata,description,string,,,
metadata,id,id,JEKxzL8K,,
metadata,nodegoat_id,id,16005426,,
metadata,FAAM manifestation ID,id,ORP-20143702p44,,
metadata,call number,string,KTS1 H.11.map.004,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,provenance,item,TrYWxDhL,,
statements,keyword,item,RHxmTGG2,,
statements,instrumentation,item,GoXpNrsh,,
statements,agent,statement,jvo6D9pt,fkHJwpoD||,
statements,agent,statement,gjG8DbaX,GBgJfRbK|9k2MygHr|,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,place,item,9k2MygHr,,
resources,thumb,image,ORP-20143702p44.gif,,../assets/images/thumbs/
