category,faam_property,type,value,base_url,label
metadata,label,string,Augsburg,,
metadata,description,string,"city in Bavaria, Germany",,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q2749,http://wwww.wikidata.org/entity/,
metadata,aliases,string,Augsburg,,
metadata,aliases,string,Kreisfreie Stadt Augsburg,,
metadata,aliases,string,Mixed Imperial City of Augsburg,,
metadata,aliases,string,Auguste Vindelicor,,
statements,GeoNames ID,externalid,6557107,https://www.geonames.org/,
statements,country,item,oDvJJJ7G,,Germany
