category,faam_property,type,value,base_url,label
metadata,label,string,Amsterdam,,
metadata,description,string,capital and most populous city of the Netherlands,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q727,http://wwww.wikidata.org/entity/,
metadata,aliases,string,Amsterdam,,
metadata,aliases,string,Mokum,,
metadata,aliases,string,"Amsterdam, North Holland",,
metadata,aliases,string,"Amsterdam, NL",,
metadata,aliases,string,"Amsterdam, Netherlands",,
metadata,aliases,string,A'dam,,
statements,GeoNames ID,externalid,2759794,https://www.geonames.org/,
statements,country,item,gMTAFTct,,Netherlands
