category,faam_property,type,value,qualifiers,base_url
metadata,label,string,CONCERTO N°8 in D uitgave voor Violin en piano,,
metadata,description,string,,,
metadata,id,id,JysuypPo,,
metadata,nodegoat_id,id,15992603,,
metadata,FAAM manifestation ID,id,KCG-000334484,,
metadata,call number,string,II 1611,,
metadata,score format,item,g5WgfTuF,,
metadata,score complexity,item,iTQMfTAE,,
statements,note,html,"Orchestral parts only, solo missing.",,
statements,editorial annotation,item,59RimmuX,,
statements,editorial annotation,item,Z8fp8xPh,,
statements,editorial annotation,item,Rfoj9dh4,,
statements,editorial annotation,item,gSHSbZQr,,
statements,handwritten annotation,item,jCuFYGDc,,
statements,handwritten annotation,item,K9MgTT3J,,
statements,handwritten annotation,item,gSHSbZQr,,
statements,handwritten annotation,item,bsgSL8K5,,
statements,handwritten annotation,item,eviEKifd,,
statements,provenance,item,hQcqj8e8,,
statements,keyword,item,65rhe5Po,,
statements,keyword,item,QFnkBYdA,,
statements,instrumentation,item,g7hgtzmM,,
statements,agent,statement,TYtCu3ys,fkHJwpoD||,
statements,agent,statement,3NyookEG,2ZAuwsSp|8LdweD7c|,
statements,agent,statement,dqzZNPaF,NgFpoygv|8LdweD7c|,
statements,agent,statement,dqzZNPaF,NgFpoygv|8LdweD7c|,
statements,role,item,fkHJwpoD,,
statements,role,item,2ZAuwsSp,,
statements,role,item,NgFpoygv,,
statements,role,item,NgFpoygv,,
statements,place,item,8LdweD7c,,
statements,place,item,8LdweD7c,,
statements,place,item,8LdweD7c,,
resources,thumb,image,KCG-000334484.gif,,../assets/images/thumbs/
